GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-java-project,clove,Achievement.AchievementType,45,0,0,0,8,0,1,0,1,0
my-java-project,clove,Achievement,300,0,44,0,79,0,50,0,25,0
my-java-project,clove,AchievementConditions,820,0,68,0,156,0,53,0,19,0
my-java-project,clove,ScoreManager,52,0,2,0,16,0,6,0,5,0
my-java-project,clove,AchievementManager,129,0,8,0,34,0,16,0,12,0
my-java-project,clove,Statistics,448,0,8,0,87,0,25,0,21,0
my-java-project,twoplayermode,TwoPlayerMode,161,0,30,0,44,0,23,0,8,0
my-java-project,Sound_Operator,SoundManager,549,0,34,0,136,0,33,0,16,0
my-java-project,engine,FileManager,1525,184,102,8,385,49,72,6,18,5
my-java-project,engine,Frame,68,0,0,0,19,0,4,0,4,0
my-java-project,engine,InputManager,118,0,24,0,34,0,28,0,16,0
my-java-project,engine,DrawManager.SpriteType,0,243,0,0,0,39,0,1,0,1
my-java-project,engine,DrawManager.new Entity() {...},11,0,0,0,1,0,1,0,1,0
my-java-project,engine,DrawManager.new Entity() {...},11,0,0,0,1,0,1,0,1,0
my-java-project,engine,Cooldown,54,15,6,0,14,6,6,1,3,1
my-java-project,engine,DrawManager,2475,0,112,0,469,0,93,0,37,0
my-java-project,engine,Core,737,143,41,0,200,21,28,5,5,5
my-java-project,engine,GameState,97,0,0,0,34,0,15,0,15,0
my-java-project,engine,Score,152,0,2,0,42,0,13,0,12,0
my-java-project,engine,MinimalFormatter,43,0,0,0,10,0,3,0,3,0
my-java-project,engine,GameSettings,21,45,0,0,7,17,7,2,7,2
my-java-project,HUDTeam,DrawManagerImpl,642,0,10,0,118,0,21,0,16,0
my-java-project,HUDTeam,DrawAchievementHud,28,0,0,0,11,0,6,0,6,0
my-java-project,HUDTeam,DrawManagerImpl.new Entity() {...},8,0,0,0,1,0,1,0,1,0
my-java-project,HUDTeam,DrawManagerImpl.new Entity() {...},11,0,0,0,1,0,1,0,1,0
my-java-project,Enemy,PiercingBullet,58,0,4,0,20,0,9,0,7,0
my-java-project,Enemy,ItemManager,265,0,23,0,77,0,24,0,9,0
my-java-project,Enemy,PiercingBulletPool,77,0,2,0,18,0,4,0,3,0
my-java-project,Enemy,PlayerGrowth,112,0,2,0,34,0,14,0,13,0
my-java-project,Enemy,HpEnemyShip,63,20,12,4,18,6,12,2,4,2
my-java-project,Enemy,Item,189,0,14,0,43,0,12,0,5,0
my-java-project,Enemy,ItemPool,28,0,0,0,6,0,3,0,3,0
my-java-project,level_design,Background,302,0,36,0,70,0,26,0,8,0
my-java-project,screen,ScoreScreen,485,0,50,0,123,0,34,0,9,0
my-java-project,screen,TraitScreen,206,0,24,0,51,0,19,0,7,0
my-java-project,screen,GameScreen,2219,0,286,0,441,0,164,0,21,0
my-java-project,screen,Screen,88,0,6,0,34,0,12,0,9,0
my-java-project,screen,RecordScreen,63,0,4,0,21,0,6,0,4,0
my-java-project,screen,TitleScreen,323,0,44,0,81,0,30,0,8,0
my-java-project,screen,HighScoreScreen,67,0,4,0,22,0,6,0,4,0
my-java-project,CtrlS,EncryptionSupport,77,0,4,0,13,0,5,0,3,0
my-java-project,CtrlS,ReceiptScreen,57,0,4,0,18,0,6,0,4,0
my-java-project,CtrlS,Gem,11,0,0,0,3,0,1,0,1,0
my-java-project,CtrlS,RoundState,287,0,14,0,62,0,22,0,15,0
my-java-project,CtrlS,UpgradeManager,355,147,21,2,97,45,31,15,19,14
my-java-project,CtrlS,CurrencyManager,77,0,6,0,29,0,11,0,8,0
my-java-project,entity,BulletPool,61,0,2,0,13,0,4,0,3,0
my-java-project,entity,EnemyShipFormation.new ActionListener() {...},43,0,6,0,9,0,5,0,2,0
my-java-project,entity,Obstacle,90,0,10,0,23,0,11,0,6,0
my-java-project,entity,EnemyShipFormation.Direction,21,0,0,0,4,0,1,0,1,0
my-java-project,entity,EnemyShipFormation,1901,0,218,0,357,0,126,0,17,0
my-java-project,entity,Ship,437,0,26,0,104,0,37,0,24,0
my-java-project,entity,Entity,31,21,0,0,13,8,9,2,9,2
my-java-project,entity,AddSign,11,0,0,0,3,0,1,0,1,0
my-java-project,entity,EnemyShip,218,126,27,12,79,34,40,9,15,5
my-java-project,entity,Bullet,110,0,6,0,33,0,19,0,16,0
my-java-project,entity,Coin,11,0,0,0,3,0,1,0,1,0
my-java-project,inventory_develop,Bomb,390,0,48,0,82,0,38,0,14,0
my-java-project,inventory_develop,ShipStatus,227,34,8,4,50,12,22,3,16,3
my-java-project,inventory_develop,StoryModeTrait,25,376,10,31,5,72,7,20,0,6
my-java-project,inventory_develop,FeverTimeItem,52,0,4,0,19,0,7,0,5,0
my-java-project,inventory_develop,ItemBarrierAndHeart,62,0,6,0,23,0,9,0,6,0
my-java-project,inventory_develop,NumberOfBullet,152,0,10,0,32,0,11,0,5,0
my-java-project,inventory_develop,SpeedItem,86,0,10,0,26,0,9,0,4,0
